model_name,diag_type,count
yolo_a4+b7+d6,no_response,22
yolo_a4+b7+d6,low_score,0
yolo_a4+b7+d6,regression_poor,46
yolo_a4+b7+d6,postproc_suppressed,0
exp_2603040206,no_response,21
exp_2603040206,low_score,0
exp_2603040206,regression_poor,36
exp_2603040206,postproc_suppressed,0
yolo_a3+b3+d3,no_response,10
yolo_a3+b3+d3,low_score,0
yolo_a3+b3+d3,regression_poor,46
yolo_a3+b3+d3,postproc_suppressed,0
yolo_a7+b7+c7+d7,no_response,15
yolo_a7+b7+c7+d7,low_score,0
yolo_a7+b7+c7+d7,regression_poor,44
yolo_a7+b7+c7+d7,postproc_suppressed,0
yolo_a3+c5,no_response,5
yolo_a3+c5,low_score,0
yolo_a3+c5,regression_poor,45
yolo_a3+c5,postproc_suppressed,0
yolo_a6+b6+c6+d6,no_response,13
yolo_a6+b6+c6+d6,low_score,0
yolo_a6+b6+c6+d6,regression_poor,43
yolo_a6+b6+c6+d6,postproc_suppressed,0
yolo_a6+b7+d11,no_response,16
yolo_a6+b7+d11,low_score,0
yolo_a6+b7+d11,regression_poor,47
yolo_a6+b7+d11,postproc_suppressed,0
yolo_a3+c5,no_response,9
yolo_a3+c5,low_score,0
yolo_a3+c5,regression_poor,42
yolo_a3+c5,postproc_suppressed,0
