model_name,metric,count
yolo_a4+b7+d6,FP_unmatched,12
yolo_a4+b7+d6,FP_pred_dup,0
yolo_a4+b7+d6,FP_near,15
yolo_a4+b7+d6,FP_other,4
yolo_a4+b7+d6,FP_highlight,0
yolo_a4+b7+d6,FP_texture_shadow,0
exp_2603040206,FP_unmatched,15
exp_2603040206,FP_pred_dup,0
exp_2603040206,FP_near,12
exp_2603040206,FP_other,2
exp_2603040206,FP_highlight,0
exp_2603040206,FP_texture_shadow,0
yolo_a3+b3+d3,FP_unmatched,17
yolo_a3+b3+d3,FP_pred_dup,0
yolo_a3+b3+d3,FP_near,21
yolo_a3+b3+d3,FP_other,4
yolo_a3+b3+d3,FP_highlight,0
yolo_a3+b3+d3,FP_texture_shadow,0
yolo_a7+b7+c7+d7,FP_unmatched,6
yolo_a7+b7+c7+d7,FP_pred_dup,0
yolo_a7+b7+c7+d7,FP_near,20
yolo_a7+b7+c7+d7,FP_other,2
yolo_a7+b7+c7+d7,FP_highlight,0
yolo_a7+b7+c7+d7,FP_texture_shadow,0
yolo_a3+c5,FP_unmatched,24
yolo_a3+c5,FP_pred_dup,0
yolo_a3+c5,FP_near,15
yolo_a3+c5,FP_other,3
yolo_a3+c5,FP_highlight,0
yolo_a3+c5,FP_texture_shadow,0
yolo_a6+b6+c6+d6,FP_unmatched,16
yolo_a6+b6+c6+d6,FP_pred_dup,0
yolo_a6+b6+c6+d6,FP_near,19
yolo_a6+b6+c6+d6,FP_other,3
yolo_a6+b6+c6+d6,FP_highlight,0
yolo_a6+b6+c6+d6,FP_texture_shadow,0
yolo_a6+b7+d11,FP_unmatched,8
yolo_a6+b7+d11,FP_pred_dup,0
yolo_a6+b7+d11,FP_near,21
yolo_a6+b7+d11,FP_other,2
yolo_a6+b7+d11,FP_highlight,0
yolo_a6+b7+d11,FP_texture_shadow,0
yolo_a3+c5,FP_unmatched,16
yolo_a3+c5,FP_pred_dup,0
yolo_a3+c5,FP_near,14
yolo_a3+c5,FP_other,4
yolo_a3+c5,FP_highlight,0
yolo_a3+c5,FP_texture_shadow,0
