model_name,split_used,mAP50,mAP50_95,precision,recall,gt,pred,tp,fp,fn,precision_target_level,recall_target_level,fps
bsd,"val,test",0.4243531708063249,0.2086029366586464,0.48191682939818925,0.3960238235047395,202,140,100,40,102,0.7142857142857143,0.49504950495049505,252.81551155617396
baseline,"val,test",0.46965481321574987,0.24999937828806928,0.5612396035091717,0.3611693649861589,202,132,98,34,104,0.7424242424242424,0.48514851485148514,367.93371031583166
our,"val,test",0.4613906650912947,0.23680193503331623,0.5424594543183942,0.36599278584011413,202,133,114,19,88,0.8571428571428571,0.5643564356435643,178.51871495325713
hmc,"val,test",0.5000501695417016,0.2300499105956677,0.629813401187447,0.35609428739199733,202,114,101,13,101,0.8859649122807017,0.5,165.09145537296072
al3,"val,test",0.5342030886117681,0.2680720754766253,0.6607775987857997,0.4254676621088835,202,144,111,33,91,0.7708333333333334,0.5495049504950495,182.1446075165738
al2,"val,test",0.48039941276614845,0.24147736275194023,0.6246885003693672,0.3467829880043621,202,109,91,18,111,0.8348623853211009,0.4504950495049505,177.60194642316355
al1,"val,test",0.483975650407195,0.2473779832477852,0.5862249093937587,0.41066185722674275,202,134,107,27,95,0.7985074626865671,0.5297029702970297,145.0660962855183
op1,"val,test",0.48820424382343547,0.24199583481517137,0.5847100375982682,0.39593993792467075,202,144,107,37,95,0.7430555555555556,0.5297029702970297,299.4888040976167
op2,"val,test",0.465876637286684,0.25071723213622804,0.6035827678062123,0.35601040181192856,202,121,93,28,109,0.768595041322314,0.4603960396039604,301.9098876501714
op3,"val,test",0.5342030886117681,0.2680720754766253,0.6607775987857997,0.4254676621088835,202,144,111,33,91,0.7708333333333334,0.5495049504950495,181.7028539388919
