model_name,hit_img,miss_img,fp_img,tn_img,image_recall,image_fpr
bsd,76,18,8,29,0.8085106382978723,0.21621621621621623
baseline,75,19,4,33,0.7978723404255319,0.10810810810810811
our,83,11,2,35,0.8829787234042553,0.05405405405405406
hmc,72,22,1,36,0.7659574468085106,0.02702702702702703
al3,80,14,7,30,0.851063829787234,0.1891891891891892
al2,75,19,2,35,0.7978723404255319,0.05405405405405406
al1,76,18,3,34,0.8085106382978723,0.08108108108108109
op1,83,11,5,32,0.8829787234042553,0.13513513513513514
op2,74,20,5,32,0.7872340425531915,0.13513513513513514
op3,80,14,7,30,0.851063829787234,0.1891891891891892
