model_name,scale_bin,gt,tp,fn,recall
bsd,<16,3,1,2,0.3333333333333333
bsd,16-32,42,13,29,0.30952380952380953
bsd,32-64,108,48,60,0.4444444444444444
bsd,>=64,49,38,11,0.7755102040816326
baseline,<16,3,1,2,0.3333333333333333
baseline,16-32,42,12,30,0.2857142857142857
baseline,32-64,108,43,65,0.39814814814814814
baseline,>=64,49,42,7,0.8571428571428571
our,<16,3,1,2,0.3333333333333333
our,16-32,42,18,24,0.42857142857142855
our,32-64,108,55,53,0.5092592592592593
our,>=64,49,40,9,0.8163265306122449
hmc,<16,3,1,2,0.3333333333333333
hmc,16-32,42,10,32,0.23809523809523808
hmc,32-64,108,53,55,0.49074074074074076
hmc,>=64,49,37,12,0.7551020408163265
al3,<16,3,0,3,0.0
al3,16-32,42,20,22,0.47619047619047616
al3,32-64,108,52,56,0.48148148148148145
al3,>=64,49,39,10,0.7959183673469388
al2,<16,3,1,2,0.3333333333333333
al2,16-32,42,10,32,0.23809523809523808
al2,32-64,108,40,68,0.37037037037037035
al2,>=64,49,40,9,0.8163265306122449
al1,<16,3,1,2,0.3333333333333333
al1,16-32,42,18,24,0.42857142857142855
al1,32-64,108,52,56,0.48148148148148145
al1,>=64,49,36,13,0.7346938775510204
op1,<16,3,0,3,0.0
op1,16-32,42,14,28,0.3333333333333333
op1,32-64,108,52,56,0.48148148148148145
op1,>=64,49,41,8,0.8367346938775511
op2,<16,3,0,3,0.0
op2,16-32,42,9,33,0.21428571428571427
op2,32-64,108,44,64,0.4074074074074074
op2,>=64,49,40,9,0.8163265306122449
op3,<16,3,0,3,0.0
op3,16-32,42,20,22,0.47619047619047616
op3,32-64,108,52,56,0.48148148148148145
op3,>=64,49,39,10,0.7959183673469388
