dataset,name,mAP@0.5,mAP@0.5:0.95,avg_cls_P/%,avg_cls_R/%,bin_img_AP/%,bin_img_P/%,bin_img_R/%
DeepPCB,dpcbbl1,98.02,79.85,98.31,96.69,100.00,100.00,100.00
DeepPCB,dpcbbl2,98.21,79.44,98.33,97.08,100.00,100.00,100.00
DeepPCB,dpcbbl3,95.78,60.48,94.66,91.27,100.00,100.00,100.00
DeepPCB,dpcbbl4,98.20,80.61,97.92,97.12,100.00,100.00,100.00

GC10-DET,gc10bl1,66.29,34.64,67.92,59.93,98.46,98.07,83.78
GC10-DET,gc10bl2,67.89,37.53,72.43,60.02,97.98,97.31,81.38
GC10-DET,gc10bl3,69.72,37.71,74.83,61.41,97.61,96.90,79.88
GC10-DET,gc10bl4,57.35,31.93,62.25,51.40,97.79,98.29,68.92
GC10-DET,gc10bl5,63.52,35.22,68.68,55.10,98.02,97.64,74.47
GC10-DET,gc10bl6,64.10,35.42,65.42,58.36,98.00,97.50,76.28

KolektorSDD,gc10bl2,79.35,46.32,90.91,66.67,88.28,100.00,80.00
KolektorSDD,gc10bl3,89.19,44.91,98.83,80.00,88.28,100.00,86.67
KolektorSDD,gc10bl4,71.09,51.78,88.89,53.33,87.03,100.00,46.67
KolektorSDD,kolbl1,81.61,39.42,85.67,79.75,84.93,92.86,86.67

NEU-DET,gc10bl1,73.81,43.04,71.79,67.86,100.00,100.00,96.39
NEU-DET,gc10bl2,71.69,44.52,66.99,70.90,100.00,100.00,96.94
NEU-DET,gc10bl3,71.09,43.43,68.01,69.61,100.00,100.00,95.00
NEU-DET,gc10bl4,71.80,44.07,76.30,61.81,100.00,100.00,83.06
