dataset,name,mAP@0.5,mAP@0.5:0.95,avg_cls_P/%,avg_cls_R/%,bin_img_AP/%,bin_img_P/%,bin_img_R/%
DeepPCB,baseline,98.02,79.85,98.31,96.69,100.00,100.00,100.00
DeepPCB,ours,98.21,79.44,98.33,97.08,100.00,100.00,100.00

GC10-DET,ours,66.29,34.64,67.92,59.93,98.46,98.07,83.78
GC10-DET,baseline,64.10,35.42,65.42,58.36,98.00,97.50,76.28

KolektorSDD,ours,89.19,44.91,98.83,80.00,88.28,100.00,86.67
KolektorSDD,baseline,81.61,39.42,85.67,79.75,84.93,92.86,86.67

NEU-DET,ours,73.81,43.04,71.79,67.86,100.00,100.00,96.39
NEU-DET,baseline,71.80,44.07,76.30,61.81,100.00,100.00,83.06
